ComidaDia,Lunes,Martes,Miercoles,Jueves,Viernes,Sabado,Domingo
Desayuno,-Bebida vegetal. -Bocadillo integral de jamon,-Leche semidesnatada. -Muesli,-1 Taza de leche, medio platano, 4 fresas, 1 cucchara de miel, 3 nueces y media taza de copos de avena.,-Bocadillo integral de atun con pepino. -Bebida Vegetal.,-Bocadillo integral de queso. -Zumo vitalidad.,-Bocadillo de espelta con pavo.- Zumo verde.,-Crep de alforfon con crema de cacao. -Zumo verde.  ,
Media manana,Platano. 1 Pisca de frutos secos,Mini vegetal. 1 Manzana,Platano. 1 pisca de frutos secos.,Platano. 1 pisca de frutos secos.,Mini vegetal. 1 Manzana,Platano. 1 pisca de frutos secos,Platano 1 pisca de frutos secos.,
Comida,Ensalada de pasta integral. Atun Rebozado con sesamo. 1 Manzana,Rollitos de calabacin. Guisantes ahogados. 1 Bol de fresas.,Risotto de setas. MerLuza a la Papillote. 1 Kiwi.,Pincho de tomate cherry con queso fresco. Hamburguesa de espinaca con hummus,Esparragos de margen con romesco. brazo de patata y carne picada. 1 Aguacate.,Ensalada de Zanahoria y remolacha. Quinta Salteada con pollo. 2 Mandarinas.,Pasta Italiana tipo Vegetal. Salmon al horno con salsa de mango. Trufas de chocolate.,
Merienda,Yogur liquido, 1 barrita energetica., Yogur natural con chia y frutos del bosque.,1 Puñado de frutos secos. 1 Barrita de cereales.,Yougur liquido. 1 Barritas de cereales., Yogur liquido. 1 trozo de pastel de zanahoria.,Batido de leche semidesnatada con fruta., Yogur natural con sesamo y compota de Manzana.,
Cena,Ensalada de acelgas crudas con champinones, queso de cabra y vinagre de miel,Cuscus con verduras. Pollo al limon. 1 Pera.,Ensalada de aguacate con salmon ahumado. coca de recapte. 1 yogur de frutas,Crema de verduras con mijo. Tortillas de ajos tiernos. 1 Manzana.,Ensalada de Judias verdes. Pavo a la plancha con arroz integral, 1 Kiwi.,Ensalada de Lechuga con Manzana. Pizza vegetal y queso suave,Ensalada. Pan integral con anchoas. 1 Naranja,
